Primacy Agency,PWS ID,PWS Name,Population Served,City Name,Compliance Period Begin Date,Compliance Period End Date
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Apr-2020,30-Jun-2020
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Jan-2019,31-Mar-2019
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2018,31-Mar-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jul-2018,30-Sep-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Apr-2018,30-Jun-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Apr-2010,30-Jun-2010
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2010,31-Dec-2011
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2012,31-Dec-2012
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2018,31-Dec-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Apr-2009,30-Jun-2009
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2018,31-Dec-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2018,31-Dec-2018
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2019,31-Mar-2019
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2011,30-Sep-2012
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jul-2010,30-Sep-2010
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2010,31-Mar-2010
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2009,31-Dec-2009
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Jan-2009,31-Mar-2009
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Oct-2008,31-Dec-2008
EPA Region 8,083890025,SPIRIT LAKE WATER MANAGEMENT RWS,"4,400",ST. MICHAEL,01-Apr-2009,30-Jun-2009
EPA Region 8,083890026,DAKOTA MAGIC CASINO,"2,360",HANKINSON,01-Oct-2022,31-Dec-2022
EPA Region 8,084690021,WANBLEE EAST,"2,179",PINE RIDGE,01-Apr-2023,30-Jun-2023
EPA Region 8,084690021,WANBLEE EAST,"2,179",PINE RIDGE,01-Jan-2008,31-Dec-2008
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Oct-2020,31-Dec-2020
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Apr-2021,30-Jun-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jul-2021,30-Sep-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Oct-2021,31-Dec-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jan-2022,31-Mar-2022
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jan-2021,31-Mar-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jan-2022,31-Mar-2022
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jan-2021,31-Mar-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jul-2021,30-Sep-2021
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Jan-2020,31-Mar-2020
EPA Region 8,084690029,NORTH MARTIN WATER SYSTEM,90,PINE RIDGE,01-Apr-2020,30-Jun-2020
EPA Region 8,084690438,BIG BEND WATER SYSTEM,80,FORT THOMPSON,01-Jan-2005,31-Dec-2007
EPA Region 8,084690439,CROW CREEK SIOUX TRIBE WATER SYSTEM,130,FORT THOMPSON,01-Jan-2005,31-Dec-2007
EPA Region 8,084690440,FORT THOMPSON WATER SYSTEM,"1,357",FORT THOMPSON,01-Jan-2005,31-Dec-2007
EPA Region 8,084690472,POTATO CREEK WATER SYSTEM,95,PINE RIDGE,01-Jan-2008,31-Dec-2008
EPA Region 8,084690472,POTATO CREEK WATER SYSTEM,95,PINE RIDGE,01-Oct-2009,31-Dec-2009
EPA Region 8,084690472,POTATO CREEK WATER SYSTEM,95,PINE RIDGE,01-Jan-2010,31-Mar-2010
EPA Region 8,084690485,PINE RIDGE HOSPITAL,316,PINE RIDGE,01-Jan-2020,31-Dec-2022
EPA Region 8,084690528,ROSEBUD RURAL WATER SYSTEM,"5,500",ROSEBUD,01-Jan-2020,31-Dec-2022
EPA Region 8,084990002,URIAH HEEPS SPRING WATER SYSTEM,"3,550",FT. DUCHESNE,01-Jul-2021,30-Sep-2021
EPA Region 8,084990004,WHITE MESA WATER SYSTEM,300,TOWOAC,01-Jan-2002,31-Dec-2004
EPA Region 8,084990004,WHITE MESA WATER SYSTEM,300,TOWOAC,01-Apr-2012,30-Jun-2012
EPA Region 8,084990004,WHITE MESA WATER SYSTEM,300,TOWOAC,01-Jan-2002,31-Dec-2004
EPA Region 8,084990004,WHITE MESA WATER SYSTEM,300,TOWOAC,01-Jan-2022,31-Dec-2022
EPA Region 8,085690002,ETHETE WATER SYSTEM,"1,950",FORT WASHAKIE,01-Jan-2002,31-Dec-2004
EPA Region 8,085690003,FORT WASHAKIE,"3,520",FORT WASHAKIE,01-Jan-2002,31-Dec-2004
EPA Region 8,085690004,ARAPAHOE COMM WATER SYSTEM,"3,100",FORT WASHAKIE,01-Jan-2002,31-Dec-2004
EPA Region 8,085690008,ARAPAHOE INDUSTRIAL PARK,650,"FORT WASHAKIE, WY.",01-Jan-2002,31-Dec-2004
EPA Region 9,090400001,Topawa Intertie,"1,318",Sells,01-Jan-2004,31-Dec-2004
EPA Region 9,090400002,Nolic Intertie,168,Sells,01-Apr-2007,30-Jun-2007
EPA Region 9,090400016,Kohatk,80,Sells,01-Jan-2013,31-Mar-2013
EPA Region 9,090400030,Pisinemo Intertie,472,Sells,01-Apr-2007,30-Jun-2007
EPA Region 9,090400034,Cockleburr,90,Sells,01-Apr-2013,30-Jun-2013
EPA Region 9,090400034,Cockleburr,90,Sells,01-Jan-2013,31-Mar-2013
EPA Region 9,090400034,Cockleburr,90,Sells,01-Apr-2007,30-Jun-2007
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Jan-2010,31-Mar-2010
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Jul-2009,30-Sep-2009
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Oct-2010,31-Dec-2010
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Oct-2009,31-Dec-2009
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Jan-2011,31-Mar-2011
EPA Region 9,090400049,Dishchii Bikoh Community School - BIA Charter,622,White River,01-Jan-2009,31-Mar-2009
