City Name,State,Population
KENAI,Alaska,30
SOLDOTNA,Alaska,448
HOMER,Alaska,50
SOLDOTNA,Alaska,54
VOZNESENKA,Alaska,300
KENAI,Alaska,110
HOMER,Alaska,150
STERLING,Alaska,118
SOLDOTNA,Alaska,212
SOLDOTNA,Alaska,75
STERLING,Alaska,33
ANCHORAGE,Alaska,35
ANCHORAGE,Alaska,125
KODIAK,Alaska,9547
AKHIOK,Alaska,90
PORT LIONS,Alaska,175
OUZINKIKE,Alaska,144
OLD HARBOR,Alaska,246
KARLUK,Alaska,60
LARSEN BAY,Alaska,271
KOLIGANEK,Alaska,170
ATKA,Alaska,50
NEWHALEN,Alaska,80
SAINT GEORGE,Alaska,65
MANOKOTAK,Alaska,293
DILLINGHAM,Alaska,2419
CLARKS POINT,Alaska,128
CHIGNIK BAY,Alaska,199
ANCHORAGE,Alaska,972
AKUTAN,Alaska,95
NONDALTON,Alaska,205
UNALASKA,Alaska,9400
TOGIAK,Alaska,910
SOUTH NAKNEK,Alaska,66
PERRYVILLE,Alaska,130
NEW STUYAHOK,Alaska,566
NAKNEK,Alaska,130
JBER,Alaska,120
ADAK,Alaska,325
KING SALMON,Alaska,85
KING SALMON,Alaska,30
NELSON LAGOON,Alaska,60
IGIUGIG,Alaska,100
NUNAPITCHUK,Alaska,496
CHIGNIK LAKE,Alaska,200
SEATTLE,Alaska,1400
DILLINGHAM,Alaska,31
KING SALMON,Alaska,80
FALSE PASS,Alaska,393
EGEGIK,Alaska,485
MANOKOTAK,Alaska,215
DUTCH HARBOR,Alaska,535
DILLINGHAM,Alaska,120
KOKHANOK,Alaska,189
DILLINGHAM,Alaska,31
KING SALMON,Alaska,61
MOUNTAIN VILLAGE,Alaska,850
BETHEL,Alaska,340
SAINT MARYS,Alaska,548
SCAMMON BAY,Alaska,637
NUNAM IQUA,Alaska,213
BETHEL,Alaska,661
TULUKSAK,Alaska,373
EEK,Alaska,280
EMMONAK,Alaska,820
HOOPER BAY,Alaska,1200
CHEVAK,Alaska,938
CHEFORNAK,Alaska,454
ALAKANUK,Alaska,570
BETHEL,Alaska,475
BETHEL,Alaska,224
BETHEL,Alaska,302
KIPNUK,Alaska,639
ANIAK,Alaska,50
BETHEL,Alaska,67
BETHEL,Alaska,101
KONGIGANAK,Alaska,547
ATMAUTLUAK,Alaska,311
QUINHAGAK,Alaska,724
PLATINUM,Alaska,51
BETHEL,Alaska,99
TUNTUTULIAK,Alaska,350
BETHEL,Alaska,259
MEKORYUK,Alaska,198
KWIGILLINGOK,Alaska,400
NIGHTMUTE,Alaska,243
ANIAK,Alaska,80
ANCHORAGE,Alaska,82
ANCHORAGE,Alaska,25
ANCHORAGE,Alaska,30
BETHEL,Alaska,1650
ANCHORAGE,Alaska,617
AKIAK,Alaska,346
CHUATHBALUK,Alaska,123
KWETHLUK,Alaska,760
AKIACHAK,Alaska,627
ANIAK,Alaska,50
KASIGLUK,Alaska,240
SHAGELUK,Alaska,60
GRAYLING,Alaska,195
ANCHORAGE,Alaska,182
MCGRATH,Alaska,341
ANVIK,Alaska,96
TATITLEK,Alaska,95
GLENNALLEN,Alaska,39
GLENNALLEN,Alaska,25
GLENNALLEN,Alaska,396
COPPER CENTER,Alaska,236
ANCHORAGE,Alaska,50
COPPER CENTER,Alaska,200
ANCHORAGE,Alaska,200
GLENNALLEN,Alaska,30
VALDEZ,Alaska,175
GLENNALLEN,Alaska,56
CHALKYITSIK,Alaska,76
FAIRBANKS,Alaska,52
ARCTIC VILLAGE,Alaska,175
MANLEY HOT SPRINGS,Alaska,95
CIRCLE,Alaska,110
FAIRBANKS,Alaska,160
FAIRBANKS,Alaska,114
FAIRBANKS,Alaska,105
FAIRBANKS,Alaska,1575
ESTER,Alaska,99
FAIRBANKS,Alaska,310
FAIRBANKS,Alaska,27
ANCHORAGE,Alaska,50
DEADHORSE,Alaska,100
DEADHORSE,Alaska,260
ANCHORAGE,Alaska,300
BUCKLAND,Alaska,600
LITTLE DIOMEDE,Alaska,184
NOATAK,Alaska,485
GOLOVIN,Alaska,150
DEERING,Alaska,160
TELLER,Alaska,295
ST. MICHAEL,Alaska,495
SHUNGNAK,Alaska,299
SELAWIK,Alaska,846
SHAKTOOLIK,Alaska,270
SHISHMAREF,Alaska,572
STEBBINS,Alaska,590
WHITE MOUNTAIN,Alaska,210
GAMBELL,Alaska,669
KALTAG,Alaska,214
RUBY,Alaska,40
DELTA JUNCTION,Alaska,210
DELTA JUNCTION,Alaska,112
GULKANA,Alaska,90
DELTA JCT.,Alaska,62
TOK,Alaska,43
TETLIN,Alaska,42
NORTHWAY,Alaska,223
TOK,Alaska,261
PRATTVILLE,Alabama,45444
PRATTVILLE,Alabama,600
FAIRHOPE,Alabama,59484
ROBERTSDALE,Alabama,10905
SPANISH FORT,Alabama,10161
CENTRE,Alabama,7050
ENTERPRISE,Alabama,48000
TUSCUMBIA,Alabama,13395
LEIGHTON,Alabama,1203
TUSCUMBIA,Alabama,14400
ANDALUSIA,Alabama,15114
OZARK,Alabama,7779
CROSSVILLE,Alabama,1998
EAST BREWTON,Alabama,2994
FLOMATON,Alabama,2409
GADSDEN,Alabama,44637
RED BAY,Alabama,6048
ASHFORD,Alabama,3816
RAINSVILLE,Alabama,35259
STEVENSON,Alabama,4101
SULLIGENT,Alabama,2643
SMITHS STATION,Alabama,31695
ATHENS,Alabama,35982
TUSKEGEE,Alabama,6951
MADISON,Alabama,54114
DEMOPOLIS,Alabama,10530
HAMILTON,Alabama,10500
ALBERTVILLE,Alabama,29367
DOUGLAS,Alabama,16632
CITRONELLE,Alabama,39249
GRAND BAY,Alabama,11100
THEODORE,Alabama,39573
MT. VERNON,Alabama,1878
DECATUR,Alabama,30000
ALICEVILLE,Alabama,5655
CARROLLTON,Alabama,14364
REFORM,Alabama,2376
PHENIX CITY,Alabama,42267
PHENIX CITY,Alabama,16800
PELL CITY,Alabama,17586
MUNFORD,Alabama,4467
CHATOM,Alabama,2037
CAMDEN,Alabama,4170
ARDMORE,Alabama,3903
FORT PAYNE,Alabama,47070
FORKLAND,Alabama,1137
CULLMAN,Alabama,350
AUTAUGAVILLE,Alabama,5106
ROBERTSDALE,Alabama,5496
CAVE CITY,Arkansas,3045
MOUNTAIN HOME,Arkansas,22
Pago Pago,American Samoa,440
Pago Pago,American Samoa,585
Pago Pago,American Samoa,45315
GREER,Arizona,101
SPRINGERVILLE,Arizona,1972
ST. JOHNS,Arizona,540
BENSON,Arizona,5355
SIERRA VISTA,Arizona,2178
SIERRA VISTA,Arizona,20045
POMERENE,Arizona,1030
DOUGLAS,Arizona,16656
TUCSON,Arizona,1750
SAN SIMON,Arizona,312
TOMBSTONE,Arizona,1545
WILLCOX,Arizona,3757
DOUGLAS,Arizona,83
TUCSON,Arizona,150
SIERRA VISTA,Arizona,12804
ELGIN,Arizona,54
SIERRA VISTA,Arizona,315
PEARCE,Arizona,100
DRAGOON,Arizona,15603
SIERRA VISTA,Arizona,665
HEREFORD,Arizona,446
HEREFORD,Arizona,231
BENSON,Arizona,70
PHOENIX,Arizona,8083
PHOENIX,Arizona,12104
FLAGSTAFF,Arizona,8996
CAMERON,Arizona,1270
FLAGSTAFF,Arizona,76960
PHOENIX,Arizona,1140
ST. LOUIS,Arizona,210
WILLIAMS,Arizona,3145
HAPPY JACK,Arizona,1920
MAYER,Arizona,350
WILLIAMS,Arizona,1423
HUNTINGTON BEACH,Arizona,400
FLAGSTAFF,Arizona,25
FLAGSTAFF,Arizona,32
GRAND CANYON,Arizona,16590
PAGE,Arizona,4439
ST. LOUIS,Arizona,497
GLOBE,Arizona,7536
HAYDEN,Arizona,417
PINE,Arizona,400
ST. LOUIS,Arizona,512
PAYSON,Arizona,66
PAYSON,Arizona,35
PAYSON,Arizona,976
PAYSON,Arizona,200
ST. LOUIS,Arizona,266
PAYSON,Arizona,117
TONTO BASIN,Arizona,90
CHANDLER,Arizona,138
PINE,Arizona,90
BEVERLY HILLS,Arizona,400
ROOSEVELT,Arizona,300
ROOSEVELT,Arizona,241
THATCHER,Arizona,20600
SAFFORD,Arizona,800
MORENCI,Arizona,1697
ST. LOUIS,Arizona,604
LITCHFIELD PARK,Arizona,700
SUN CITY,Arizona,976
TEMPE,Arizona,1375
CAVE CREEK,Arizona,5895
EL MIRAGE,Arizona,26026
BUCKEYE,Arizona,2175
PHOENIX,Arizona,1695000
CAVE CREEK,Arizona,4220
LITCHFIELD PARK,Arizona,50770
GILA BEND,Arizona,150
EL MIRAGE,Arizona,14107
TUCSON,Arizona,813
GILA BEND,Arizona,1922
PEORIA,Arizona,6490
PHOENIX,Arizona,434
SCOTTSDALE,Arizona,85
BUCKEYE,Arizona,15309
PHOENIX,Arizona,60
AVONDALE,Arizona,83001
BUCKEYE,Arizona,7008
CHANDLER,Arizona,247328
EL MIRAGE,Arizona,39884
GILBERT,Arizona,247600
PHOENIX,Arizona,234766
GOODYEAR,Arizona,50001
MESA,Arizona,466000
PEORIA,Arizona,135975
CAVE CREEK,Arizona,241361
TEMPE,Arizona,165000
TORTILLA FLAT,Arizona,30
PHOENIX,Arizona,18858
EL MIRAGE,Arizona,25362
BUCKEYE,Arizona,15783
SUN CITY,Arizona,400
GILA BEND,Arizona,145
WITTMANN,Arizona,50
CHANDLER,Arizona,26
PHOENIX,Arizona,600
LUKE AFB,Arizona,8440
PHOENIX,Arizona,500
DATELAND,Arizona,70
PHOENIX,Arizona,71
PALO VERDE,Arizona,450
BUCKEYE,Arizona,775
GILA BEND,Arizona,112
TONOPAH,Arizona,2500
SCOTTSDALE,Arizona,120
GILBERT,Arizona,53
SURPRISE,Arizona,40007
EL MIRAGE,Arizona,25302
EDMONTON,Arizona,27
SURPRISE,Arizona,23963
SURPRISE,Arizona,76
EL MIRAGE,Arizona,14723
PHOENIX,Arizona,70
BUCKEYE,Arizona,235
BUCKEYE,Arizona,4300
PHOENIX,Arizona,583
NEW RIVER,Arizona,345
MESA,Arizona,100
TUCSON,Arizona,62
BUCKEYE,Arizona,60
PHOENIX,Arizona,500
PHOENIX,Arizona,211
EL MIRAGE,Arizona,80959
PHOENIX,Arizona,1500
BUCKEYE,Arizona,84
BUCKEYE,Arizona,25
BUCKEYE,Arizona,306
PHOENIX,Arizona,66
TONOPAH,Arizona,72
PHOENIX,Arizona,45
BUCKEYE,Arizona,100
GILA BEND,Arizona,100
BUCKEYE,Arizona,376
BUCKEYE,Arizona,184
CHANDLER,Arizona,200
CHLORIDE,Arizona,350
LITTLEFIELD,Arizona,1048
EL MIRAGE,Arizona,4788
SAN FRANCISCO,Arizona,1500
LAKE HAVASU CITY,Arizona,54610
PAYSON,Arizona,3970
BULLHEAD CITY,Arizona,36330
KINGMAN,Arizona,2538
ST. LOUIS,Arizona,333
MOHAVE VALLEY,Arizona,125
WHITE HILLS,Arizona,40
WIKIEUP,Arizona,44
FORT MOHAVE,Arizona,18000
BULLHEAD CITY,Arizona,5190
"DESERT SPRINGS,",Arizona,258
VALPARAISO,Arizona,650
KINGMAN,Arizona,3950
KINGMAN,Arizona,135
BEAVER DAM,Arizona,282
LITTLEFIELD,Arizona,400
ST. LOUIS,Arizona,338
WASHINGTON,Arizona,415
MEADVIEW,Arizona,130
GOLDEN VALLEY,Arizona,3500
LAKE FOREST,Arizona,210
LAKE HAVASU CITY,Arizona,80
LAS VEGAS,Arizona,205
BOUDLER CITY,Arizona,1300
BOUDLER CITY,Arizona,305
BOUDLER CITY,Arizona,789
HEBER,Arizona,839
LAKESIDE,Arizona,322
SHOW LOW,Arizona,17139
PAYSON,Arizona,580
PINETOP,Arizona,1233
PAYSON,Arizona,198
PINEDALE,Arizona,376
HOLBROOK,Arizona,540
AJO,Arizona,2654
GREEN VALLEY,Arizona,22085
TUCSON,Arizona,6685
TUCSON,Arizona,272
SASABE,Arizona,42
PHOENIX,Arizona,235
PHOENIX,Arizona,4483
TUCSON,Arizona,16000
TUCSON,Arizona,4252
PHOENIX,Arizona,3627
TUCSON,Arizona,363
TUCSON,Arizona,4900
TUCSON,Arizona,732906
AJO,Arizona,400
TUCSON,Arizona,3435
TUCSON,Arizona,900
TUCSON,Arizona,300
GREEN VALLEY,Arizona,8687
TUCSON,Arizona,252
ORO VALLEY,Arizona,42316
TUCSON,Arizona,10217
TUCSON,Arizona,77
TUCSON,Arizona,25
AMADO,Arizona,54
TUCSON,Arizona,84
TUCSON,Arizona,50
TUCSON,Arizona,45
SAHUARITA,Arizona,18178
TUCSON,Arizona,5542
TUCSON,Arizona,327
HAYDEN,Arizona,60
PHOENIX,Arizona,62055
ARIZONA CITY,Arizona,375
PHOENIX,Arizona,113516
PHOENIX,Arizona,645
PHOENIX,Arizona,926
SAN TAN VALLEY,Arizona,28
MARICOPA,Arizona,928
PHOENIX,Arizona,470
APACHE JUNCTION,Arizona,15610
PICACHO,Arizona,340
PAYSON,Arizona,613
COOLIDGE,Arizona,1001
PICACHO,Arizona,200
STANFIELD,Arizona,200
MARICOPA,Arizona,450
MARICOPA,Arizona,530
MARICOPA,Arizona,2231
SAN TAN VALLEY,Arizona,600
ELOY,Arizona,8852
FLORENCE,Arizona,532
PHOENIX,Arizona,50790
APACHE JUNCTION,Arizona,48
MARICOPA,Arizona,60
MARANA,Arizona,48
KEARNY,Arizona,38
SIERRA VISTA,Arizona,188
MARICOPA,Arizona,100
COOLIDGE,Arizona,200
KEARNY,Arizona,36
CRYSTAL RIVER,Arizona,200
MARICOPA,Arizona,405
MARICOPA,Arizona,100
PHOENIX,Arizona,6577
PHOENIX,Arizona,40
MARICOPA,Arizona,150
EL MIRAGE,Arizona,2312
NOGALES,Arizona,22000
TUCSON,Arizona,1950
SIERRA VISTA,Arizona,17960
TUCSON,Arizona,74
SIERRA VISTA,Arizona,927
TUBAC,Arizona,75
NOGALES,Arizona,430
PAULDEN,Arizona,1743
ASH FORK,Arizona,2250
GLENDALE,Arizona,730
BAGDAD,Arizona,3200
SEDONA,Arizona,7360
DEWEY,Arizona,40
TUCSON,Arizona,795
CLARKDALE,Arizona,4920
COTTONWOOD,Arizona,11004
KINGMAN,Arizona,150
ST. LOUIS,Arizona,169
MAYER,Arizona,1400
SEDONA,Arizona,1507
CAMP VERDE,Arizona,650
PRESCOTT,Arizona,602
PRESCOTT,Arizona,42217
PHOENIX,Arizona,3403
PRESCOTT VALLEY,Arizona,56472
PRESCOTT,Arizona,2437
MAYER,Arizona,741
PHOENIX,Arizona,138
CAMP VERDE,Arizona,875
COTTONWOOD,Arizona,784
MAYER,Arizona,1097
CAMP VERDE,Arizona,380
RIMROCK,Arizona,435
CAMP VERDE,Arizona,145
SEDONA,Arizona,50
SEDONA,Arizona,239
PHOENIX,Arizona,243
CAMP VERDE,Arizona,1810
RIMROCK,Arizona,400
COTTONWOOD,Arizona,250
SEDONA,Arizona,400
COTTONWOOD,Arizona,2895
COTTONWOOD,Arizona,1466
COTTONWOOD,Arizona,4491
PHOENIX,Arizona,480
SEDONA,Arizona,54
DEWEY,Arizona,35
CROWN KING,Arizona,42
PHOENIX,Arizona,1761
COTTONWOOD,Arizona,1200
CLARKDALE,Arizona,450
BAGDAD,Arizona,110
COTTONWOOD,Arizona,275
COTTONWOOD,Arizona,40
COTTONWOOD,Arizona,2189
CAMP VERDE,Arizona,60
TUCSON,Arizona,204
MAYER,Arizona,90
TUCSON,Arizona,86
CHINO VALLEY,Arizona,600
PRESCOTT VALLEY,Arizona,107
CLARKDALE,Arizona,50
PHOENIX,Arizona,173
CORNVILLE,Arizona,200
PRESCOTT,Arizona,483
CHINO VALLEY,Arizona,55
CAMP VERDE,Arizona,150
FORT WORTH,Arizona,90
FLAGSTAFF,Arizona,190
RIMROCK,Arizona,100
COTTONWOOD,Arizona,28
CHINO VALLEY,Arizona,50
SCOTTSDALE,Arizona,160
COTTONWOOD,Arizona,90
PAULDEN,Arizona,21
CAMP VERDE,Arizona,88
CHINO VALLEY,Arizona,60
DATELAND,Arizona,319
YUMA,Arizona,32425
SAN LUIS,Arizona,39705
YUMA,Arizona,430
YUMA,Arizona,200
WELLTON,Arizona,3000
DATELAND,Arizona,160
ROLL,Arizona,171
ST. LOUIS,Arizona,105
YUMA,Arizona,35
ST. LOUIS,Arizona,632
YUMA,Arizona,6324
YUMA,Arizona,816
YUMA,Arizona,200
ST. LOUIS,Arizona,102
PARKER,Arizona,652
RANCHO CUCAMONGA,Arizona,450
YUMA,Arizona,512
YUMA,Arizona,888
YUMA,Arizona,390
ST. LOUIS,Arizona,404
WENDEN,Arizona,360
PHOENIX,Arizona,150
ST. LOUIS,Arizona,1759
BOUSE,Arizona,284
BOUSE,Arizona,55
TUCSON,Arizona,90
QUARTZSITE,Arizona,440
TUCSON,Arizona,960
PHOENIX,Arizona,225
MARANA,Arizona,2000
TUCSON,Arizona,50000
SCOTTSDALE,Arizona,168
TUCSON,Arizona,65
MARANA,Arizona,2450
DAVIS-MONTHAN AFB,Arizona,18640
TUCSON,Arizona,53
BYRON,California,50
FIDDLETOWN,California,100
CHICO,California,399
CLIPPER MILLS,California,90
OROVILLE,California,28
SACRAMENTO,California,76
SACRAMENTO,California,75
OROVILLE,California,180
SACRAMENTO,California,275
BIGGS,California,63
OROVILLE,California,70
CHICO,California,85
CHICO,California,51
NELSON,California,81
CHICO,California,120
GRIDLEY,California,7444
SAN ANDREAS,California,1043
GRIMES,California,305
PRINCETON,California,382
OAKLEY,California,170
KNIGHTSEN,California,350
BYRON,California,600
OAKLEY,California,380
BETHEL ISLAND,California,123
OAKLEY,California,333
MORAGA,California,93
BRENTWOOD,California,67
LIVERMORE,California,132
STOCKTON,California,134
SHINGLE SPRINGS,California,120
POLLOCK PINES,California,25
GEORGETOWN,California,80
SHINGLE SPRINGS,California,65
SOUTH LAKE TAHOE,California,117013
FRESNO,California,196
COALINGA,California,528
COALINGA,California,160
CLOVIS,California,80
FOWLER,California,46
FRESNO,California,75
SANGER,California,48
FRESNO,California,64
LATON,California,100
FRESNO,California,449
AUBERRY,California,40
CLOVIS,California,30
FRESNO,California,80
CARUTHERS,California,520
SPRECKLES,California,90
KERMAN,California,60
CERES,California,52
FIREBAUGH,California,325
FIREBAUGH,California,8096
RIVERDALE,California,2756
TRANQUILLITY,California,807
CARUTHERS,California,2613
OCOTILLO,California,150
IMPERIAL,California,125
PALO VERDE,California,175
BRAWLEY,California,85
TAMPA,California,500
SAN DIEGO,California,25
IMPERIAL,California,37
WINTERHAVEN,California,50
BRAWLEY,California,300
HOLTVILLE,California,30
WINTERHAVEN,California,50
SHOSHONE,California,242
RANCHO CORDOVA,California,66
VALLEY CENTER,California,54
LOS ANGELES,California,32
BISHOP,California,290
LOS ANGELES,California,66
OLANCHA,California,115
DEATH VALLEY,California,27
NORTH EDWARDS,California,270
LAKE ISABELLA,California,75
BAKERSFIELD,California,150
NORTH EDWARDS,California,87
BAKERSFIELD,California,462
ROSAMOND,California,174
RANCHO PALOS VERDES,California,65
LAKE ISABELLA,California,74
LAKE ISABELLA,California,56
MOJAVE,California,56
WOFFORD HEIGHTS,California,67
SOUTH PASADENA,California,60
BAKERSFIELD,California,200
WELDON,California,120
TEHACHAPI,California,112
BAKERSFIELD,California,365
LOS ANGELES,California,73
BAKERSFIELD,California,100
CORCORAN,California,59
ARVIN,California,243
BAKERSFIELD,California,897
WASCO,California,250
ROSAMOND,California,940
BAKERSFIELD,California,32
LAKE ISABELLA,California,44
BAKERSFIELD,California,45
ROSAMOND,California,35
ENCINO,California,120
WASCO,California,48
BAKERSFIELD,California,50
ROSAMOND,California,39
BAKERSFIELD,California,150
BAKERSFIELD,California,1200
TEHACHAPI,California,192
CORCORAN,California,204
WASCO,California,454
MOJAVE,California,250
INYOKERN,California,36
ARVIN,California,19669
BORON,California,2086
DELANO,California,51428
BAKERSFIELD,California,32517
LAMONT,California,19057
MCFARLAND,California,15506
MOJAVE,California,4699
JOHANESBURG,California,303
RIDGECREST,California,31024
ROSAMOND,California,17711
SHAFTER,California,21036
BAKERSFIELD,California,11590
BORON,California,968
PINE MOUNTAIN CLUB,California,1600
LOST HILLS,California,2370
NORTH EDWARDS,California,1105
FRAZIER PARK,California,908
DELANO,California,5000
LEMOORE,California,416
HANFORD,California,812
HANFORD,California,1040
STOCKTON,California,50
HANFORD,California,47
HANFORD,California,50
ARMONA,California,4143
HANFORD,California,62127
LEMOORE,California,27185
HANFORD,California,1750
KETTLEMAN CITY,California,1136
SUSANVILLE,California,3357
LANCASTER,California,60
GRANADA HILLS,California,45
LANCASTER,California,160
VALENCIA,California,71
LOS ANGELES,California,44
LANCASTER,California,24
LAKE HUGHES,California,56
AGUA DULCE,California,100
CHANDLER,California,325
ALHAMBRA,California,204673
MONTEBELLO,California,15021
LANCASTER,California,2800
PALMDALE,California,1508
MADERA,California,300
OAKHURST,California,250
NORTH FORK,California,200
FIREBAUGH,California,250
OAKHURST,California,175
OAKHURST,California,74
OAKHURST,California,110
NORTH FORK,California,45
OAKHURST,California,137
MADERA,California,148
MADERA,California,200
MADERA,California,150
MADERA,California,264
MADERA,California,450
MADERA,California,267
ONEALS,California,500
RAYMOND,California,43
MADERA,California,60
FRESNO,California,80
OAKHURST,California,100
MADERA,California,100
FIREBAUGH,California,50
COARSEGOLD,California,143
CHOWCHILLA,California,60
MADERA,California,90
SACRAMENTO,California,3412
FRESNO,California,1107
SACRAMENTO,California,320
CHOWCHILLA,California,3147
NICASIO,California,31
STINSON BEACH,California,583
POINT REYES STATION,California,1560
WATSONVILLE,California,656
MARIPOSA,California,55
ROHNERT PARK,California,42
LAYTONVILLE,California,1152
LIVINGSTON,California,248
HILMAR,California,1629
ATWATER,California,407
MERCED,California,56
DELHI,California,28
TURLOCK,California,60
TURLOCK,California,55
MODESTO,California,67
LIVINGSTON,California,14894
LE GRAND,California,1739
COLEVILLE,California,84
BRIDGEPORT,California,851
SALINAS,California,45
SALINAS,California,579
SALINAS,California,162
SALINAS,California,277
CORRAL DE TIERRA,California,92
SALINAS,California,90
SALINAS,California,250
SALINAS,California,58
SALINAS,California,90
ROYAL OAKS,California,81
SALINAS,California,210
,California,54
SALINAS,California,65
ROYAL OAKS,California,164
SALINAS,California,1248
SALINAS,California,207
SALINAS,California,50
MONTEREY,California,135
PRUNEDALE,California,57
SALINAS,California,25
RANCHO CORDOVA,California,50
PACIFIC GROVE,California,1065
NAPA,California,55
NAPA,California,25
CALISTOGA,California,200
SANTA ROSA,California,55
ST. HELENA,California,60
NAPA,California,652
ST. HELENA,California,65
SODA SPRINGS,California,180
GRASS VALLEY,California,250
NEVADA CITY,California,536
KINGVALE,California,60
TRUCKEE,California,36730
TRUCKEE,California,85
NORDEN,California,376
LOOMIS,California,52
LOOMIS,California,260
EMIGRANT GAP,California,450
OLYMPIC VALLEY,California,1500
EMIGRANT GAP,California,125
AUBURN,California,25
CARNELIAN BAY,California,2500
PORTOLA,California,2100
BLAIRSDEN,California,1534
PALM DESERT,California,152
LA QUINTA,California,340
LAKE FOREST,California,180
ANZA,California,250
BANNING,California,30
NORCO,California,59
THERMAL,California,316
THERMAL,California,81
INDIO,California,1847
BAKERSFIELD,California,245
NORCO,California,25037
BLYTHE,California,766
CABAZON,California,2271
BLYTHE,California,5994
ISLETON,California,100
ISLETON,California,60
COURTLAND,California,90
ISLETON,California,55
WALNUT GROVE,California,80
SACRAMENTO,California,250
ISLETON,California,200
ST. HELENA,California,100
SACRAMENTO,California,650
RIO VISTA,California,375
SACRAMENTO,California,30
SACRAMENTO,California,44
GRANITE BAY,California,40
ELK GROVE,California,43551
GALT,California,26536
SACRAMENTO,California,7831
HOLLISTER,California,55
SAN JUAN BAUTISTA,California,110
HOLLISTER,California,34
HOLLISTER,California,914
HOLLISTER,California,38
HOLLISTER,California,133
SAN JUAN BAUTISTA,California,56
BARSTOW,California,124
SAN BERNARDINO,California,24728
BORON,California,1006
BARSTOW,California,112
HINKLEY,California,50
SAN BERNARDINO,California,455
APPLE VALLEY,California,924
LUDLOW,California,500
BIG BEAR LAKE,California,75500
BORON,California,543
NEWBERRY SPRINGS,California,219
VICTORVILLE,California,100
ADELANTO,California,39930
HELENDALE,California,6347
FORT IRWIN,California,800
TRONA,California,1818
SANTA YSABEL,California,9913
JULIAN,California,1517
SPRING VALLEY,California,317
PAUMA VALLEY,California,185
WARNER SPRINGS,California,250
POTRERO,California,200
RIVERBANK,California,50
STOCKTON,California,35
STOCKTON,California,100
FRENCH CAMP,California,26
MANTECA,California,805
LODI,California,120
MANTECA,California,804
LODI,California,330
EL MONTE,California,34
RIPON,California,50
LODI,California,80
LODI,California,25
LIVERMORE,California,25
LOWELL,California,25
MODESTO,California,25
MANTECA,California,556
ST. HELENA,California,463
RIPON,California,60
MANTECA,California,84928
LATHROP,California,35080
MONTEREY,California,525
ARROYO GRANDE,California,132
PASO ROBLES,California,40
ARROYO GRANDE,California,60
GROVER BEACH,California,55
SAN MIGUEL,California,100
RANCHO CORDOVA,California,2026
PESCADERO,California,35
SAN MATEO,California,50
SANTA BARBARA,California,200
SANTA YNEZ,California,295
GOLETA,California,25
